title,wikidata,author,language,country,published,pages,publisher,editor,isbn13,isbn10,oclc
Bardd Pengwern,Q20580462,,Q9309,Q25,2007-06-28,207,,,978-1-900437-96-7,,
Hiwmor Hedd,Q20589569,,Q9309,Q25,2006-10-10,62,,,978-1-84527-101-5,,
Limrigau Prysor,Q20592439,Q18535875,Q9309,Q25,2003-10-01,64,,,978-0-86381-874-5,,
Blodeugerdd Barddas o Englynion Cyfoes,Q20583387,,Q9309,Q25,1993-01-01,219,,Q13132053,978-0-00-017807-7,,
Blodeugerdd Barddas o Ganu Newydd,Q20583428,,Q9309,Q25,1991-06-01,152,,,978-0-00-017809-1,,
Blodeugerdd o'r Bedwaredd Ganrif ar Bymtheg,Q20583478,,Q9309,Q25,1965,158,,Q4879478,978-0-00-067044-1,,
Cadw Drws,Q20586026,Q18535617,Q9309,Q25,2011-07-22,62,,,978-1-84851-415-7,,
Cartre'n y Cread,Q20589538,Q5294324,Q9309,Q25,2010-03-01,80,,,978-1-84851-198-9,,
Cerddi Cyfiawnder,Q20591869,,Q9309,Q25,2007-08-15,40,,,,,
Manion Edgar,Q20597389,,Q9309,Q25,2008-03-27,72,,,978-1-84527-156-5,,
Rhigymau Wil Sam,Q20594672,Q7945972,Q9309,Q25,2005-11-02,,,,978-1-84527-017-9,,
Stompiadau Pod,Q20598877,,Q9309,Q25,2004-07-15,68,,,978-0-86381-911-7,,
Blodeugerdd Barddas o Ganu Crefyddol Cynnar,Q20583418,,Q9309,Q25,1994-05-01,308,,,978-0-00-017710-0,,
Blodeugerdd Barddas o Gerddi Crefyddol,Q20583439,,Q9309,Q25,1993-01-01,191,,,978-0-00-067043-4,,
Blodeugerdd o'r Ddeunawfed Ganrif,Q20583484,Q3399335,Q9309,Q25,,125,,,978-0-7083-0515-7,,
Mwy o Limrigau Prysor,Q20600891,Q18535875,Q9309,Q25,2007-10-17,64,,,978-1-84527-130-5,,
Blodeugerdd y Glannau,Q20583493,,Q9309,Q25,1989-01-01,124,,Q13128125,978-0-00-017277-8,,
Buarth Bywyd,Q20585365,Q3398931,Q9309,Q25,1986-01-01,93,,,978-0-00-077936-6,,
C'nafron a Cherddi Eraill,Q20585942,Q7448922,Q9309,Q25,1979-01-01,83,,,978-0-00-067067-0,,
Cadwynau yn y Meddwl,Q18535490,Q5623803,Q9309,Q25,1976-01-01,63,,,978-0-00-017265-5,,
Caniadau Isgarn - Detholiad a Gwerthfawrogiad,Q20587202,,Q9309,Q25,1949-01-01,76,,Q2383305,978-0-00-067660-3,,
Cerddi'r Bont,Q20592181,Q18535590,Q9309,Q25,2011-11-02,120,,,978-1-84527-362-0,,
Cerddi Dafydd ap Gwilym,Q18535503,,Q9309,Q25,2010-06-29,760,,,978-0-7083-2294-9,,
Y Bancsi Bach,Q20601716,Q13132053,Q9309,Q25,2013-05-10,96,,,978-1-84771-696-5,,
Hoff Gerddi Natur Cymru,Q20589664,,Q9309,Q25,2011-10-27,124,,,978-1-84851-360-0,,
