title,wikipedia,wikidata,subject
RE:Assonus lacus,,Q21685018,
RE:Aspakarai,,Q21685071,
RE:Aspetos 1,,Q21685094,
RE:Astacae,,Q21685023,
RE:Assa 1,,Q21685098,
RE:Asphar,,Q21685096,
RE:Aspalathis,,Q21685073,
RE:Asparagium,,Q21685078,
RE:Aspaneus,,Q21685076,
RE:Asope,,Q21685027,
RE:Asopos 2,,Q21685055,
RE:Asos,,Q21685064,
RE:Aspis 13,,Q21685006,
RE:Asseneth,,Q21685011,
RE:Aspax,,Q21685087,
RE:Asopos 5,,Q21685058,
RE:Aspacora,,Q21685068,
RE:Asopios,,Q21685003,
RE:Asor 1,,Q21685062,
RE:Asopo,,Q21685044,
RE:Aspuna,,Q21685008,
RE:Ἀσπάλαξ,,Q21685024,
RE:Aspa,,Q21685066,
RE:Asopis 2,,Q21685038,
RE:Asopos 6,,Q21685059,
RE:Asphodikos,,Q21685005,
RE:Asopodoros 4,,Q21685049,
RE:Asopia 1,,Q21685028,
RE:Asotis,,Q21685065,
RE:Asopodoros 3,,Q21685048,
RE:Assara,,Q21685009,
RE:Asor 2,,Q21685063,
RE:Asopichos 3,,Q21685033,
RE:Asopodoros 1,,Q21685045,
RE:Asopos 3,,Q21685056,
RE:Aspacures,,Q21685069,
RE:Asopolis,,Q21685052,
RE:Asopis 1,,Q21685037,
RE:Asopos 1,,Q21685054,
RE:Asopon,,Q21685053,
RE:Asopichos 4,,Q21685035,
RE:Asopis 7,,Q21685004,
RE:Asopis 4,,Q21685041,
RE:Asopodoros 6,,Q21685051,
RE:Asopis 5,,Q21685042,
RE:Asopodoros 2,,Q21685046,
RE:Asopos 4,,Q21685057,
RE:Asopichos 5,,Q21685036,
RE:Asopis 3,,Q21685040,
RE:Asporacius,,Q21685007,
RE:Asooi,,Q21685002,
RE:Aspabota,,Q21685067,
RE:Asopia 2,,Q21685029,
RE:Asopichos 1,,Q21685030,
RE:Asopos 7,,Q21685060,
RE:Assera,,Q21685012,
RE:Asopichos 2,,Q21685032,
RE:Asopis 6,,Q21685043,
RE:Asmagi,,Q21660083,
RE:Asmosata,,Q21660094,
RE:Bandobene,,Q21660173,
RE:Banata,,Q21660160,
RE:Besbikos 2,,Q21660195,
RE:Banderaeicus,,Q21660165,
RE:Banacha 2,,Q21660000,
RE:Bandiarbariaicus,,Q21660170,
RE:Asnaus,,Q21660098,
RE:Banasymeon,,Q21660157,
RE:Berta,,Q21660184,
RE:Beuos,,Q21660214,
RE:Banduaetobricus,,Q21660181,
RE:Banacha 1,,Q21660142,
RE:Bessa 2,,Q21660200,
RE:Asmurna,,Q21660096,
RE:Asochaios,,Q21660102,
RE:Beue,,Q21660212,
RE:Beudos,,Q21660210,
RE:Bettegerri,,Q21660208,
RE:Banabe,,Q21660140,
RE:Besbikos 1,,Q21660192,
RE:Bikon,,Q21660216,
RE:Bandua,,Q21660178,
RE:Autonides,,Q21660106,
RE:Baiocas,,Q21660108,
RE:Bandritum,,Q21660176,
RE:Asmenius,,Q21659981,
RE:Bandiaeapolosegus,,Q21660167,
RE:Assaon,,Q21660104,
RE:Asmanoi,,Q21660085,
RE:Aso,,Q21660100,
RE:Asmira,,Q21660090,
RE:Bertiskos,,Q21660187,
RE:Bessoi,,Q21660206,
RE:Banadedari,,Q21660146,
RE:Banauasei,,Q21660162,
RE:Bessa 1,,Q21660197,
RE:Bessapara,,Q21660202,
RE:Asmeneion,,Q21660088,
RE:Banadaspos,,Q21660144,
RE:Asmonius,,Q21660092,
RE:Asonides,,Q21659983,
RE:Bilbina,,Q21660218,
RE:Asmach,,Q21659979,
RE:Banagara,,Q21660149,
RE:Bana 2,,Q21660138,
RE:Banasa 1,,Q21660152,
RE:Bessike,,Q21660204,
RE:Banasa 2,,Q21660154,
RE:Baithakath,,Q21659987,
RE:Baitios,,Q21660136,
RE:Baitarrhus,,Q21660126,
RE:Askondas,,Q21588431,
RE:Baisteanoi,,Q21660122,
RE:Βαίτη,,Q21660230,
RE:Bait,,Q21660124,
RE:Ἀσκωλιασμός,,Q21588424,
RE:Askurnas,,Q21659977,
RE:Baithsura,,Q21659996,
RE:Baiormaios,,Q21660112,
RE:Asklepios 9,,Q21588421,
RE:Askra 1,,Q21660071,
RE:Baione,,Q21660110,
RE:Baisampsa,,Q21660118,
RE:Aspasia 3,,Q21588438,
RE:Gubali,,Q21660226,
RE:Asklepios 8,,Q21588419,
"RE:Baithel, Baithome",,Q21659991,
RE:Baiovarii,,Q21660113,
RE:Gubernatrices,,Q21660228,
RE:Askordos,,Q21660067,
RE:Askuris,,Q21660079,
RE:Guarizila,,Q21660222,
RE:Askos,,Q21660070,
RE:Bairos,,Q21660116,
RE:Baison,,Q21660120,
RE:Gryton,,Q21660220,
RE:Baition,,Q21660134,
RE:Baithana,,Q21659989,
RE:Askura,,Q21660076,
RE:Gubba,,Q21660002,
RE:Asklepios 7,,Q21588417,
RE:Ἀσκοπήρα,,Q21588433,
RE:Baithsan,,Q21659993,
RE:Askra 2,,Q21660073,
RE:Guba,,Q21660224,
RE:Ἀσκώματα,,Q21588428,
RE:Baithzacharia,,Q21659998,
RE:Aspasios 2,,Q21588445,
RE:Aspasia 2,,Q21588437,
RE:Baithsarisath,,Q21659995,
RE:Aspasios 5,,Q21588446,
RE:Baithora,,Q21660128,
RE:Aspasioi,,Q21588440,
RE:Βαίτια ὄρη,,Q21660130,
RE:Askuros,,Q21660081,
RE:Aspasios 1,,Q21588442,
RE:Baiocasses,,Q21659985,
RE:Berenike 18,,,
RE:Berissa,,Q21588580,
RE:Bergepolis,,Q21588572,
RE:Athenius 2,,Q21588450,
RE:Athenodoros 6,,Q21588465,
RE:Berenike 16,,Q21588559,
RE:Berenike 14,,Q21588555,
RE:Beroia 3,,Q21588593,
RE:Athenodoros 9,,Q21588470,
RE:Berenike 12,,Q21588550,
RE:Beroia 4,,Q21588594,
RE:Beroia 2,,Q21588591,
RE:Athenodoros 8,,Q21588467,
